358;landmark_spawn;1508.02;10.10;1871.15;0.42;0
2;landmark_spawn;2740.27;10.80;1889.02;0.08;0
4;landmark_spawn;2791.79;10.50;2001.70;5.91;0
16;landmark_spawn;2591.07;10.30;2013.39;3.83;0
64;landmark_spawn;2750.59;10.20;2086.02;-0.23;0
126;landmark_spawn;2557.57;10.20;2065.90;0.43;0
219;landmark_spawn;3096.37;10.40;2148.11;6.08;0
266;landmark_spawn;3292.77;12.20;1787.63;-0.09;0
500;landmark_spawn;1942.21;10.20;928.52;0.26;0
797;landmark_spawn;2967.84;10.30;1878.96;2.09;0
282;landmark_spawn;4546.52;10.20;1789.78;-0.50;0
438;landmark_spawn;3669.38;10.40;1652.08;-0.05;0
608;landmark_spawn;4214.83;10.20;1860.27;0.07;0
609;landmark_spawn;4250.40;-5;1856.62;-1.06;0
616;landmark_spawn;4071.38;-5;1836.50;3.11;0
622;landmark_spawn;4110.32;-5;1813.26;3.13;0
716;landmark_spawn;4322.36;-5;1896.57;4.70;0
756;landmark_spawn;3976.73;-5;1859.35;-0.89;0
1018;landmark_spawn;4426.81;10.70;1731.22;0.91;0
1035;landmark_spawn;4250.43;10.10;1727.20;-0.07;0
1039;landmark_spawn;4188.27;-5;1865.98;2.94;0
